Round Number,Date,Location,Home Team,Away Team,Winner,Result
23,19/01/2019 15:00,St. Mary's Stadium,Southampton,Everton,H,2 - 1
23,19/01/2019 15:00,Vicarage Road,Watford,Burnley,D,0 - 0
23,19/01/2019 17:30,Emirates Stadium,Arsenal,Chelsea,H,2 - 0
23,20/01/2019 13:30,John Smith's Stadium,Huddersfield,Man City,A,0 - 3
23,20/01/2019 16:00,Craven Cottage,Fulham,Spurs,A,1 - 2
24,29/01/2019 19:45,Emirates Stadium,Arsenal,Cardiff,H,2 - 1
24,29/01/2019 19:45,Craven Cottage,Fulham,Brighton,H,4 - 2
24,29/01/2019 19:45,John Smith's Stadium,Huddersfield,Everton,A,0 - 1
24,29/01/2019 19:45,Molineux Stadium,Wolves,West Ham,H,3 - 0
24,29/01/2019 20:00,Old Trafford,Man Utd,Burnley,D,2 - 2
24,29/01/2019 20:00,St. James' Park,Newcastle,Man City,H,2 - 1
24,30/01/2019 19:45,Vitality Stadium,Bournemouth,Chelsea,H,4 - 0
24,30/01/2019 19:45,St. Mary's Stadium,Southampton,Crystal Palace,D,1 - 1
24,30/01/2019 20:00,Anfield,Liverpool,Leicester,D,1 - 1
24,30/01/2019 20:00,Tottenham Hotspur Stadium,Spurs,Watford,H,2 - 1
25,02/02/2019 12:30,Tottenham Hotspur Stadium,Spurs,Newcastle,H,1 - 0
25,02/02/2019 15:00,Amex Stadium,Brighton,Watford,D,0 - 0
25,02/02/2019 15:00,Turf Moor,Burnley,Southampton,D,1 - 1
25,02/02/2019 15:00,Stamford Bridge,Chelsea,Huddersfield,H,5 - 0
25,02/02/2019 15:00,Selhurst Park,Crystal Palace,Fulham,H,2 - 0
25,02/02/2019 15:00,Goodison Park,Everton,Wolves,A,1 - 3
25,02/02/2019 17:30,Cardiff City Stadium,Cardiff,Bournemouth,H,2 - 0
25,03/02/2019 14:05,King Power Stadium,Leicester,Man Utd,A,0 - 1
25,03/02/2019 16:30,Etihad Stadium,Man City,Arsenal,H,3 - 1
25,04/02/2019 20:00,London Stadium,West Ham,Liverpool,D,1 - 1
26,06/02/2019 19:45,Goodison Park,Everton,Man City,A,0 - 2
26,09/02/2019 12:30,Craven Cottage,Fulham,Man Utd,A,0 - 3
26,09/02/2019 15:00,Selhurst Park,Crystal Palace,West Ham,D,1 - 1
26,09/02/2019 15:00,John Smith's Stadium,Huddersfield,Arsenal,A,1 - 2
26,09/02/2019 15:00,Anfield,Liverpool,Bournemouth,H,3 - 0
26,09/02/2019 15:00,St. Mary's Stadium,Southampton,Cardiff,A,1 - 2
26,09/02/2019 15:00,Vicarage Road,Watford,Everton,H,1 - 0
26,09/02/2019 17:30,Amex Stadium,Brighton,Burnley,A,1 - 3
26,10/02/2019 13:30,Tottenham Hotspur Stadium,Spurs,Leicester,H,3 - 1
26,10/02/2019 16:00,Etihad Stadium,Man City,Chelsea,H,6 - 0
26,11/02/2019 20:00,Molineux Stadium,Wolves,Newcastle,D,1 - 1
27,22/02/2019 19:45,Cardiff City Stadium,Cardiff,Watford,A,1 - 5
27,22/02/2019 19:45,London Stadium,West Ham,Fulham,H,3 - 1
27,23/02/2019 12:30,Turf Moor,Burnley,Spurs,H,2 - 1
27,23/02/2019 15:00,Vitality Stadium,Bournemouth,Wolves,D,1 - 1
27,23/02/2019 15:00,St. James' Park,Newcastle,Huddersfield,H,2 - 0
27,23/02/2019 17:30,King Power Stadium,Leicester,Crystal Palace,A,1 - 4
27,24/02/2019 14:05,Emirates Stadium,Arsenal,Southampton,H,2 - 0
27,24/02/2019 14:05,Old Trafford,Man Utd,Liverpool,D,0 - 0
28,26/02/2019 19:45,Cardiff City Stadium,Cardiff,Everton,A,0 - 3
28,26/02/2019 19:45,John Smith's Stadium,Huddersfield,Wolves,H,1 - 0
28,26/02/2019 19:45,King Power Stadium,Leicester,Brighton,H,2 - 1
28,26/02/2019 20:00,St. James' Park,Newcastle,Burnley,H,2 - 0
28,27/02/2019 19:45,Emirates Stadium,Arsenal,Bournemouth,H,5 - 1
28,27/02/2019 19:45,St. Mary's Stadium,Southampton,Fulham,H,2 - 0
28,27/02/2019 20:00,Selhurst Park,Crystal Palace,Man Utd,A,1 - 3
28,27/02/2019 20:00,Stamford Bridge,Chelsea,Spurs,H,2 - 0
28,27/02/2019 20:00,Anfield,Liverpool,Watford,H,5 - 0
28,27/02/2019 20:00,Etihad Stadium,Man City,West Ham,H,1 - 0
29,02/03/2019 12:30,Tottenham Hotspur Stadium,Spurs,Arsenal,D,1 - 1
29,02/03/2019 15:00,Vitality Stadium,Bournemouth,Man City,A,0 - 1
29,02/03/2019 15:00,Amex Stadium,Brighton,Huddersfield,H,1 - 0
29,02/03/2019 15:00,Turf Moor,Burnley,Crystal Palace,A,1 - 3
29,02/03/2019 15:00,Old Trafford,Man Utd,Southampton,H,3 - 2
29,02/03/2019 15:00,Molineux Stadium,Wolves,Cardiff,H,2 - 0
29,02/03/2019 17:30,London Stadium,West Ham,Newcastle,H,2 - 0
29,03/03/2019 12:00,Vicarage Road,Watford,Leicester,H,2 - 1
29,03/03/2019 14:05,Craven Cottage,Fulham,Chelsea,A,1 - 2
29,03/03/2019 16:15,Goodison Park,Everton,Liverpool,D,0 - 0
30,09/03/2019 12:30,Selhurst Park,Crystal Palace,Brighton,A,1 - 2
30,09/03/2019 15:00,Cardiff City Stadium,Cardiff,West Ham,H,2 - 0
30,09/03/2019 15:00,John Smith's Stadium,Huddersfield,Bournemouth,A,0 - 2
30,09/03/2019 15:00,King Power Stadium,Leicester,Fulham,H,3 - 1
30,09/03/2019 15:00,St. James' Park,Newcastle,Everton,H,3 - 2
30,09/03/2019 15:00,St. Mary's Stadium,Southampton,Spurs,H,2 - 1
30,09/03/2019 17:30,Etihad Stadium,Man City,Watford,H,3 - 1
30,10/03/2019 12:00,Anfield,Liverpool,Burnley,H,4 - 2
30,10/03/2019 14:05,Stamford Bridge,Chelsea,Wolves,D,1 - 1
30,10/03/2019 16:30,Emirates Stadium,Arsenal,Man Utd,H,2 - 0
31,16/03/2019 15:00,Vitality Stadium,Bournemouth,Newcastle,D,2 - 2
31,16/03/2019 15:00,Turf Moor,Burnley,Leicester,A,1 - 2
31,16/03/2019 15:00,London Stadium,West Ham,Huddersfield,H,4 - 3
31,17/03/2019 14:15,Craven Cottage,Fulham,Liverpool,A,1 - 2
31,17/03/2019 16:30,Goodison Park,Everton,Chelsea,H,2 - 0
32,30/03/2019 12:30,Craven Cottage,Fulham,Man City,A,0 - 2
32,30/03/2019 15:00,Amex Stadium,Brighton,Southampton,A,0 - 1
32,30/03/2019 15:00,Turf Moor,Burnley,Wolves,H,2 - 0
32,30/03/2019 15:00,Selhurst Park,Crystal Palace,Huddersfield,H,2 - 0
32,30/03/2019 15:00,King Power Stadium,Leicester,Bournemouth,H,2 - 0
32,30/03/2019 15:00,Old Trafford,Man Utd,Watford,H,2 - 1
32,30/03/2019 17:30,London Stadium,West Ham,Everton,A,0 - 2
32,31/03/2019 14:05,Cardiff City Stadium,Cardiff,Chelsea,A,1 - 2
32,31/03/2019 16:30,Anfield,Liverpool,Spurs,H,2 - 1
32,01/04/2019 20:00,Emirates Stadium,Arsenal,Newcastle,H,2 - 0
32,02/04/2019 19:45,Vicarage Road,Watford,Fulham,H,4 - 1
32,02/04/2019 19:45,Molineux Stadium,Wolves,Man Utd,H,2 - 1
32,03/04/2019 19:45,Stamford Bridge,Chelsea,Brighton,H,3 - 0
32,03/04/2019 19:45,Tottenham Hotspur Stadium,Spurs,Crystal Palace,H,2 - 0
32,03/04/2019 19:45,Etihad Stadium,Man City,Cardiff,H,2 - 0
33,05/04/2019 20:00,St. Mary's Stadium,Southampton,Liverpool,A,1 - 3
33,06/04/2019 15:00,Vitality Stadium,Bournemouth,Burnley,A,1 - 3
33,06/04/2019 15:00,John Smith's Stadium,Huddersfield,Leicester,A,1 - 4
33,06/04/2019 15:00,St. James' Park,Newcastle,Crystal Palace,A,0 - 1
33,07/04/2019 14:05,Goodison Park,Everton,Arsenal,H,1 - 0
33,08/04/2019 20:00,Stamford Bridge,Chelsea,West Ham,H,2 - 0
34,12/04/2019 20:00,King Power Stadium,Leicester,Newcastle,A,0 - 1
34,13/04/2019 12:30,Tottenham Hotspur Stadium,Spurs,Huddersfield,H,4 - 0
34,13/04/2019 15:00,Amex Stadium,Brighton,Bournemouth,A,0 - 5
34,13/04/2019 15:00,Turf Moor,Burnley,Cardiff,H,2 - 0
34,13/04/2019 15:00,Craven Cottage,Fulham,Everton,H,2 - 0
34,13/04/2019 15:00,St. Mary's Stadium,Southampton,Wolves,H,3 - 1
34,13/04/2019 17:30,Old Trafford,Man Utd,West Ham,H,2 - 1
34,14/04/2019 14:05,Selhurst Park,Crystal Palace,Man City,A,1 - 3
34,14/04/2019 16:30,Anfield,Liverpool,Chelsea,H,2 - 0
34,15/04/2019 20:00,Vicarage Road,Watford,Arsenal,A,0 - 1
34,16/04/2019 19:45,Amex Stadium,Brighton,Cardiff,A,0 - 2
35,20/04/2019 12:30,Etihad Stadium,Man City,Spurs,H,1 - 0
35,20/04/2019 15:00,Vitality Stadium,Bournemouth,Fulham,A,0 - 1
35,20/04/2019 15:00,John Smith's Stadium,Huddersfield,Watford,A,1 - 2
35,20/04/2019 15:00,London Stadium,West Ham,Leicester,D,2 - 2
35,20/04/2019 15:00,Molineux Stadium,Wolves,Brighton,D,0 - 0
35,20/04/2019 17:30,St. James' Park,Newcastle,Southampton,H,3 - 1
35,21/04/2019 13:30,Goodison Park,Everton,Man Utd,H,4 - 0
35,21/04/2019 16:00,Emirates Stadium,Arsenal,Crystal Palace,A,2 - 3
35,21/04/2019 16:00,Cardiff City Stadium,Cardiff,Liverpool,A,0 - 2
35,22/04/2019 20:00,Stamford Bridge,Chelsea,Burnley,D,2 - 2
35,23/04/2019 19:45,Vicarage Road,Watford,Southampton,D,1 - 1
35,23/04/2019 19:45,Tottenham Hotspur Stadium,Spurs,Brighton,H,1 - 0
35,24/04/2019 19:45,Molineux Stadium,Wolves,Arsenal,H,3 - 1
35,24/04/2019 20:00,Old Trafford,Man Utd,Man City,A,0 - 2
36,26/04/2019 20:00,Anfield,Liverpool,Huddersfield,H,5 - 0
36,27/04/2019 12:30,Tottenham Hotspur Stadium,Spurs,West Ham,A,0 - 1
36,27/04/2019 15:00,Selhurst Park,Crystal Palace,Everton,D,0 - 0
36,27/04/2019 15:00,Craven Cottage,Fulham,Cardiff,H,1 - 0
36,27/04/2019 15:00,St. Mary's Stadium,Southampton,Bournemouth,D,3 - 3
36,27/04/2019 15:00,Vicarage Road,Watford,Wolves,A,1 - 2
36,27/04/2019 17:30,Amex Stadium,Brighton,Newcastle,D,1 - 1
36,28/04/2019 12:00,King Power Stadium,Leicester,Arsenal,H,3 - 0
36,28/04/2019 14:05,Turf Moor,Burnley,Man City,A,0 - 1
36,28/04/2019 16:30,Old Trafford,Man Utd,Chelsea,D,1 - 1
37,03/05/2019 20:00,Goodison Park,Everton,Burnley,H,2 - 0
37,04/05/2019 12:30,Vitality Stadium,Bournemouth,Spurs,H,1 - 0
37,04/05/2019 15:00,London Stadium,West Ham,Southampton,H,3 - 0
37,04/05/2019 15:00,Molineux Stadium,Wolves,Fulham,H,1 - 0
37,04/05/2019 17:30,Cardiff City Stadium,Cardiff,Crystal Palace,A,2 - 3
37,04/05/2019 19:45,St. James' Park,Newcastle,Liverpool,A,2 - 3
37,05/05/2019 14:00,Stamford Bridge,Chelsea,Watford,H,3 - 0
37,05/05/2019 14:00,John Smith's Stadium,Huddersfield,Man Utd,D,1 - 1
37,05/05/2019 16:30,Emirates Stadium,Arsenal,Brighton,D,1 - 1
37,06/05/2019 20:00,Etihad Stadium,Man City,Leicester,H,1 - 0
38,12/05/2019 15:00,Amex Stadium,Brighton,Man City,A,1 - 4
38,12/05/2019 15:00,Turf Moor,Burnley,Arsenal,A,1 - 3
38,12/05/2019 15:00,Selhurst Park,Crystal Palace,Bournemouth,H,5 - 3
38,12/05/2019 15:00,Craven Cottage,Fulham,Newcastle,A,0 - 4
38,12/05/2019 15:00,King Power Stadium,Leicester,Chelsea,D,0 - 0
38,12/05/2019 15:00,Anfield,Liverpool,Wolves,H,2 - 0
38,12/05/2019 15:00,Old Trafford,Man Utd,Cardiff,A,0 - 2
38,12/05/2019 15:00,St. Mary's Stadium,Southampton,Huddersfield,D,1 - 1
38,12/05/2019 15:00,Tottenham Hotspur Stadium,Spurs,Everton,D,2 - 2
38,12/05/2019 15:00,Vicarage Road,Watford,West Ham,A,1 - 4
